,PRODUCT_E,PRODUCT_F,MINESITE_E,MINESITE_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
1,Oil,Pétrole,North Amethyst,North Amethyst,Newfoundland and Labrador,Terre-Neuve-et-Labrador,46.7667,-48.0333,NA,NA,-48.0333,46.7667
2,Oil,Pétrole,White Rose,White Rose,Newfoundland and Labrador,Terre-Neuve-et-Labrador,46.85,-48.1,NA,NA,-48.1,46.85
3,Oil,Pétrole,Terra Nova,Terra Nova,Newfoundland and Labrador,Terre-Neuve-et-Labrador,46.4833,-48.4667,NA,NA,-48.4667,46.4833
4,Oil,Pétrole,Hebron,Hebron,Newfoundland and Labrador,Terre-Neuve-et-Labrador,46.503,-48.478,NA,NA,-48.478,46.503
5,Oil,Pétrole,Hibernia,Hibernia,Newfoundland and Labrador,Terre-Neuve-et-Labrador,46.7583,-48.7833,NA,NA,-48.7833,46.7583
6,"Oil, gas","Pétrole, gaz",Stony Creek,Stony Creek,New Brunswick,Nouveau-Brunswick,46,-64.8,NA,01BU,-64.8,46
7,Gas,Gaz,McCully,McCully,New Brunswick,Nouveau-Brunswick,45.5,-65.3833,NA,01BV,-65.3833,45.5
8,Gas,Gaz,Haldimand,Haldimand,Ontario,Ontario,42.96,-79.78,ON-02HA-02,02HA,-79.78,42.96
9,Gas,Gaz,Norfolk,Norfolk,Ontario,Ontario,42.71,-80.49,ON-02GC-03,02GC,-80.49,42.71
10,Oil,Pétrole,Gobles,Gobles,Ontario,Ontario,43.14,-80.58,ON-02GB-04,02GB,-80.58,43.14
11,Gas,Gaz,Clear Creek,Clear Creek,Ontario,Ontario,42.46,-80.62,NA,207,-80.62,42.46
12,Gas,Gaz,Silver Creek,Silver Creek,Ontario,Ontario,42.38,-80.85,NA,207,-80.85,42.38
13,Oil,Pétrole,Willey,Willey,Ontario,Ontario,42.73,-81.51,ON-02GE-05,02GE,-81.51,42.73
14,Oil,Pétrole,Clearville,Clearville,Ontario,Ontario,42.47,-81.68,NA,207,-81.68,42.47
15,Oil,Pétrole,Rodney,Rodney,Ontario,Ontario,42.54,-81.69,NA,02GF,-81.69,42.54
16,Oil,Pétrole,Petrolia,Petrolia,Ontario,Ontario,42.87,-82.18,ON-02GGB06,02GG,-82.18,42.87
17,Gas,Gaz,Rosedale,Rosedale,Ontario,Ontario,42.78,-82.19,ON-02GGB07,02GG,-82.19,42.78
18,Gas,Gaz,Tilbury,Tilbury,Ontario,Ontario,42.18,-82.23,NA,207,-82.23,42.18
19,Oil,Pétrole,Ladysmith,Ladysmith,Ontario,Ontario,42.8,-82.36,ON-02GGB06,02GG,-82.36,42.8
20,"Oil, gas","Pétrole, gaz",Becher,Becher,Ontario,Ontario,42.62,-82.46,ON-02GGB01,02GG,-82.46,42.62
21,Oil,Pétrole,Whitewater,Whitewater,Manitoba,Manitoba,49.1661,-100.2,NA,05NG,-100.2,49.1661
22,Oil,Pétrole,Waskada,Waskada,Manitoba,Manitoba,49.08,-101.15,NA,05NF,-101.15,49.08
23,Oil,Pétrole,Virden,Virden,Manitoba,Manitoba,49.9,-101.19,NA,05MG,-101.19,49.9
24,Oil,Pétrole,Daly/Sinclair,Daly/Sinclair,Manitoba,Manitoba,49.78,-101.3,NA,05NG,-101.3,49.78
25,Oil,Pétrole,Pierson,Pierson,Manitoba,Manitoba,49.15,-101.34,NA,05NF,-101.34,49.15
26,Oil,Pétrole,Kirkella,Kirkella,Manitoba,Manitoba,50.0025,-101.38611,NA,05MG,-101.38611,50.0025
27,Oil,Pétrole,Hastings,Hastings,Saskatchewan,Saskatchewan,49.27074,-101.95853,NA,05NF,-101.95853,49.27074
28,Oil,Pétrole,Parkman,Parkman,Saskatchewan,Saskatchewan,49.78,-101.96,NA,05NF,-101.96,49.78
29,Oil,Pétrole,Willmar,Willmar,Saskatchewan,Saskatchewan,49.4307,-102.3012,NA,05ND,-102.3012,49.4307
30,Oil,Pétrole,Pinto,Pinto,Saskatchewan,Saskatchewan,49.1015513,-102.304925,NA,05ND,-102.304925,49.1015513
31,Oil,Pétrole,Steelman,Steelman,Saskatchewan,Saskatchewan,49.28,-102.64,NA,05ND,-102.64,49.28
32,Oil,Pétrole,Midale,Midale,Saskatchewan,Saskatchewan,49.47,-103.34,NA,05NB,-103.34,49.47
33,Oil,Pétrole,Viewfield,Viewfield,Saskatchewan,Saskatchewan,49.5169328,-103.3993216,NA,05ND,-103.3993216,49.5169328
34,Oil,Pétrole,Torquay Main,Torquay Main,Saskatchewan,Saskatchewan,49.0303044,-103.4105069,NA,05NA,-103.4105069,49.0303044
35,Oil,Pétrole,Macoun,Macoun,Saskatchewan,Saskatchewan,49.3053297,-103.6190727,NA,05NB,-103.6190727,49.3053297
36,Oil,Pétrole,Weyburn,Weyburn,Saskatchewan,Saskatchewan,49.4,-103.78,NA,05NB,-103.78,49.4
37,Oil,Pétrole,Lougheed,Lougheed,Saskatchewan,Saskatchewan,49.4996266,-103.8759319,NA,05NB,-103.8759319,49.4996266
38,Oil,Pétrole,Freda Lake,Freda Lake,Saskatchewan,Saskatchewan,49.3458295,-104.4484205,NA,05NA,-104.4484205,49.3458295
39,Oil,Pétrole,Cantuar,Cantuar,Saskatchewan,Saskatchewan,50.32,-108.24,NA,05HC,-108.24,50.32
40,Oil,Pétrole,Cantuar Main,Cantuar Main,Saskatchewan,Saskatchewan,50.33632,-108.2481,NA,05HC,-108.2481,50.33632
41,Oil,Pétrole,Battrum,Battrum,Saskatchewan,Saskatchewan,50.55,-108.29,NA,05HC,-108.29,50.55
42,Oil,Pétrole,Gull Lake North,Gull Lake North,Saskatchewan,Saskatchewan,50.111144,-108.4800038,NA,05HA,-108.4800038,50.111144
43,Oil,Pétrole,Suffield West,Suffield West,Saskatchewan,Saskatchewan,50.1593932,-108.5222501,NA,05HA,-108.5222501,50.1593932
44,Oil,Pétrole,Leon Lake,Leon Lake,Saskatchewan,Saskatchewan,49.640865,-108.5426306,NA,05HD,-108.5426306,49.640865
45,Oil,Pétrole,Leitchville,Leitchville,Saskatchewan,Saskatchewan,49.7268155,-108.5470845,NA,05HD,-108.5470845,49.7268155
46,Oil,Pétrole,Rapdan,Rapdan,Saskatchewan,Saskatchewan,49.2494796,-108.5916931,NA,11AD,-108.5916931,49.2494796
47,Oil,Pétrole,Rapdan South,Rapdan South,Saskatchewan,Saskatchewan,49.2494796,-108.5916931,NA,11AD,-108.5916931,49.2494796
48,Oil,Pétrole,Dollard,Dollard,Saskatchewan,Saskatchewan,49.56547,-108.61556,NA,05HD,-108.61556,49.56547
49,Oil,Pétrole,Edam East,Edam East,Saskatchewan,Saskatchewan,53.1062309,-108.6559043,NA,05EG,-108.6559043,53.1062309
50,Oil,Pétrole,Plato North,Plato North,Saskatchewan,Saskatchewan,51.2672492,-108.707604,NA,05HC,-108.707604,51.2672492
51,Oil,Pétrole,Edam West,Edam West,Saskatchewan,Saskatchewan,53.2001149,-108.7334903,NA,05EG,-108.7334903,53.2001149
52,Oil,Pétrole,Edam South G.P.,Edam South G.P.,Saskatchewan,Saskatchewan,53.1261185,-108.8032924,NA,05EG,-108.8032924,53.1261185
53,Oil,Pétrole,Dodsland,Dodsland,Saskatchewan,Saskatchewan,51.7,-108.92,NA,05GB,-108.92,51.7
54,Oil,Pétrole,Rush Lake,Rush Lake,Saskatchewan,Saskatchewan,53.1219,-109.0411,NA,05EG,-109.0411,53.1219
55,Oil,Pétrole,Avon Hill,Avon Hill,Saskatchewan,Saskatchewan,51.57861,-109.06558,NA,05GB,-109.06558,51.57861
56,Oil,Pétrole,Westhazel,Westhazel,Saskatchewan,Saskatchewan,53.3444266,-109.2247629,NA,05EF,-109.2247629,53.3444266
57,Oil,Pétrole,Kerrobert,Kerrobert,Saskatchewan,Saskatchewan,51.8147554,-109.2656806,NA,05GB,-109.2656806,51.8147554
58,Oil,Pétrole,Celtic,Celtic,Saskatchewan,Saskatchewan,53.44,-109.29,NA,05EF,-109.29,53.44
59,Oil,Pétrole,Bolney,Bolney,Saskatchewan,Saskatchewan,53.53931,-109.35563,NA,05EF,-109.35563,53.53931
60,Oil,Pétrole,Whiteside,Whiteside,Saskatchewan,Saskatchewan,51.5858767,-109.359728,NA,05GB,-109.359728,51.5858767
61,Oil,Pétrole,Lashburn East,Lashburn East,Saskatchewan,Saskatchewan,53.2316335,-109.3803484,NA,05EF,-109.3803484,53.2316335
62,Oil,Pétrole,Lashburn,Lashburn,Saskatchewan,Saskatchewan,53.195,-109.4161,NA,05EG,-109.4161,53.195
63,Oil,Pétrole,Soda Lake,Soda Lake,Saskatchewan,Saskatchewan,53.0419316,-109.4174817,NA,05FF,-109.4174817,53.0419316
64,Oil,Pétrole,Pikes Peak,Pikes Peak,Saskatchewan,Saskatchewan,53.26047,-109.45019,NA,05EF,-109.45019,53.26047
65,Oil,Pétrole,Sandall,Sandall,Saskatchewan,Saskatchewan,53.3982151,-109.453654,NA,05EF,-109.453654,53.3982151
66,Oil,Pétrole,Gully Lake,Gully Lake,Saskatchewan,Saskatchewan,53.2468954,-109.5196396,NA,05EF,-109.5196396,53.2468954
67,"Oil, gas","Pétrole, gaz",Tangleflags North,Tangleflags North,Saskatchewan,Saskatchewan,53.34,-109.56,NA,05EF,-109.56,53.34
68,Gas,Gaz,Winter,Winter,Saskatchewan,Saskatchewan,52.655,-109.5619,NA,05GA,-109.5619,52.655
69,Oil,Pétrole,Laporte,Laporte,Saskatchewan,Saskatchewan,51.262909,-109.6172347,NA,05HB,-109.6172347,51.262909
70,Oil,Pétrole,Onion Lake North,Onion Lake North,Saskatchewan,Saskatchewan,53.8104726,-109.9789567,NA,05EF,-109.9789567,53.8104726
71,Oil,Pétrole,Cactus Lake,Cactus Lake,Saskatchewan,Saskatchewan,52.09,-109.99,NA,05GA,-109.99,52.09
72,"Oil, gas","Pétrole, gaz",Chauvin South,Chauvin South,Alberta,Alberta,52.498,-110.019,AB-07010109,05GA,-110.019,52.498
73,Oil,Pétrole,Hayter,Hayter,Alberta,Alberta,52.498,-110.019,AB-07010109,05GA,-110.019,52.498
74,"Oil, gas","Pétrole, gaz",Lloydminster,Lloydminster,Alberta,Alberta,53.409,-110.088,AB-11040302,05EF,-110.088,53.409
75,"Oil, gas","Pétrole, gaz",Atlee Buffalo,Atlee Buffalo,Alberta,Alberta,50.7232,-110.3885,AB-08030401,05CK,-110.3885,50.7232
76,Bitumen,Bitume,Tucker Lake,Tucker Lake,Alberta,Alberta,54.59953,-110.49425,AB-12020103,06AC,-110.49425,54.59953
77,Bitumen,Bitume,Foster Creek,Foster Creek,Alberta,Alberta,55.0667,-110.5167,AB-12010202,06AB,-110.5167,55.0667
78,Bitumen,Bitume,Primrose,Primrose,Alberta,Alberta,54.8,-110.5667,AB-12010203,06AB,-110.5667,54.8
79,"Oil, gas","Pétrole, gaz",Medicine Hat,Medicine Hat,Alberta,Alberta,50.084,-110.623,AB-04030301,05AK,-110.623,50.084
80,"Oil, gas","Pétrole, gaz",Wildmere,Wildmere,Alberta,Alberta,53.104,-110.699,AB-09030101,05FE,-110.699,53.104
81,Bitumen,Bitume,Wolf Lake,Wolf Lake,Alberta,Alberta,54.6667,-110.7167,AB-12010203,06AB,-110.7167,54.6667
82,"Oil, gas","Pétrole, gaz",Wainwright,Wainwright,Alberta,Alberta,52.844,-110.733,AB-09030201,05FD,-110.733,52.844
83,"Oil, gas","Pétrole, gaz",Homeglen-Rimbey,Homeglen-Rimbey,Alberta,Alberta,52.844,-110.733,AB-09030201,05FD,-110.733,52.844
84,Bitumen,Bitume,Cold Lake/Mahkeses,Cold Lake/Mahkeses,Alberta,Alberta,54.6,-110.7667,AB-12010203,06AB,-110.7667,54.6
85,"Oil, gas","Pétrole, gaz",Swimming,Swimming,Alberta,Alberta,53.417,-110.8172,AB-11040204,05EE,-110.8172,53.417
86,Bitumen,Bitume,Christina Lake,Christina Lake,Alberta,Alberta,55.5833,-110.8667,AB-17060104,07CE,-110.8667,55.5833
87,Bitumen,Bitume,Jackfish,Jackfish,Alberta,Alberta,55.54117,-110.87018,AB-17060104,07CE,-110.87018,55.54117
88,Bitumen,Bitume,Firebag,Firebag,Alberta,Alberta,57.22447,-110.88775,AB-17070103,07DA,-110.88775,57.22447
89,Bitumen,Bitume,Long Lake,Long Lake,Alberta,Alberta,56.39829,-110.89047,AB-17060107,07CE,-110.89047,56.39829
90,"Gas, oil","Gaz, pétrole",Suffield,Suffield,Alberta,Alberta,50.684,-110.896,AB-04030301,05AK,-110.896,50.684
